,nombre,direccion
0,COSMEPLASTIC MEXICO  SA DE CV,ANTONIO LEON 243 ######## JUAN ESCUTIA IZTAPALAPA 9100 CDMX
1,OBRAS PROYECTOS Y SUMINISTROS  SA DE CV,PUERTO TACALA 9 ALTOS PILOTO ADOLFO LOPEZ ALVARO OBREGON 1290 CDMX
2,MAQUINARIA Y ARQUITECTURA INTEGRAL  SA DE CV,LEONARDO DA VINCI 209 DEPTO106 NONOALCO BENITO JUAREZ 3700 CDMX
3,MADERAS E INDUSTRIASCHAVEZ SA DE CV,AV STA LUCIA 1025 nan PILOTO ADOLFO LOPEZ MATEOS ALVARO OBREGON 1290 CDMX
4,JM INSTALACION Y CONSTRUCCION  SA DE CV,LAGUNA DEL ENSUE#O MZ 179 LT 9 AMPLIACION SELENE TLAHUAC 13430 CDMX
5,CARTOEMPAQUES KASA  SA DE CV,PUERTAS 32 nan LAS PUERTAS TLAHUAC 13440 CDMX
6,IMPERMEABILIZANTES YMANTENIMIENTO DE IN MUEBLES  SA DE CV,AV TLAHUAC 7390 nan SANTA CECILIA TLAHUAC 13010 CDMX
7,"CHEMICAL COSLETT, SA DE CV",MAR DE LA SERENIDAD M39 146 LT 8 SELENE TLAHUAC 13420 CDMX
8,COMERCIALIZADORA HOOBS  SA DE CV,CLL GIRASOL MZ 3 6 SAN MIGUEL TLAHUAC VALLE DE CHALCO SOLIDARIDAD 56610 Estado de Mexico
9,SEGURALIA  SA DE CV,AVENIDA GUSTAVO BAZ PRADA 172 nan BOSQUE DE ECHEGARAY NAUCALPAN DE JUAREZ 53310 Estado de Mexico
10,INTESISTA  SA DE CV,BLVD POPOCATEPETL 38 ######## PIRULES TLALNEPANTLA DE BAZ 54040 Estado de Mexico
11,GRUPO ROIB  SA DE CV,AV COATEPEC 124 B nan SAN BARTOLOME COATEP HUIXQUILUCAN 52770 Estado de Mexico
12,E & QUINN PROMOTIONS SA DE CV,CALLE 3 47 LOC E5 ALCE BLANCO NAUCALPAN DE JUAREZ 53370 Estado de Mexico
13,BETTER SOLUTIONS  SA DE CV,JESUS DEL MONTE 39 PISO 2B JESUS DEL MONTE HUIXQUILUCAN 52764 Estado de Mexico
14,PRINCIPALES INSUMOS Y COMERCIOS  SA DE CV,MARIANO ESCOBEDO 510 8 801 NUEVA ANZURES MIGUEL HIDALGO 11590 CDMX
15,LOGISTICA MULTIMODALVENCES  SA DE CV,BOGOTA 305 nan VALLE DORADO TLALNEPANTLA 54020 Estado de Mexico
16,DDDIGIT DESIGN SA DE CV,SEVILLA 110 nan SAN RAFAEL AZCAPOTZALCO 2010 CDMX
17,TRANSPORTES ESCOLARES Y DE TURISMO SA DE CV,FAUSTO ROMERO 56 nan ARAGON LA VILLA GUSTAVO A MADERO 7000 CDMX
18,DIXICOMER  SA DE CV,FUENTE DE LAS PIRAMIDES 1 501 LOMAS DE TECAMACHALCO NAUCALPAN DE JUAREZ 53950 Estado de Mexico
19,ORTO GARLO  SA DE CV,CALZ DE LOS JINETES 183 nan LAS ARBOLEDAS ATIZAPAN DE ZARAGOZA 52950 Estado de Mexico
20,ROFEPI  SA DE CV,CAMINO REAL 1A MANZANA SN LAS HUERTAS JILOTEPEC 54240 Estado de Mexico
21,GRUPO HERAIZAM  SA DE CV,SAN VICENTE 20 2 SAN MIGUEL XOCHIMANG ATIZAPAN DE ZARAGOZA 52927 Estado de Mexico
22,CONVERGENCIA EN TELECOMUNICACIONES E INGENIERIA  SA DE CV,NORTE 70 6221 nan GERTRUDIS SANCHEZ 1A GUSTAVO A MADERO 7830 CDMX
23,FCK ESTRUCTURAS  SA DE CV,JESUS DEL MONTE 39 PISO 2 B JESUS DEL MONTE HUIXQUILUCAN 52764 Estado de Mexico
24,SOLUCIONES EN CONTROL E INSTRUMENTACION  SA DE CV,MIGUEL LAURENT 15 BIS 404 DEL VALLE BENITO JUAREZ 3100 CDMX
25,ACEROS Y PERFILES MORALES  SA DE CV,AV VILLA DE AYALA 1827 LT 1827 SAN FELIPE DE JESUS GUSTAVO A MADERO 7510 CDMX
26,QUIMIDAL  SA DE CV,ARTURO SOTO RANGEL 3 MZ 187 SN JORGE NEGRETE GUSTAVO A MADERO 7280 CDMX
27,CAZAR ADVICE AND TRADE GLOBAL  SA DE CV,CLL LATACUNGA 880 5 LINDAVISTA NORTE GUSTAVO A MADERO 7300 CDMX
28,GRUPO GESIB  SA DE CV,LAGO MAYOR 167A ######## AGUA AZUL GRUPO A SU NEZAHUALCOYOTL 57500 Estado de Mexico
